PATH;NUM_PRODUCTS;TIME;R;AND_OPTIMIZATION;AND_THRESHOLD;REORDER_VARIABLES;N_EDGES;N_NODES
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;236.933;50;1;0;0;5.00987e+06;3.1651e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;236.473;50;1;1;1;5.00805e+06;3.16389e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;238.973;50;1;1;0;5.00805e+06;3.16389e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;236.049;50;1;2;1;5.00805e+06;3.16389e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;234.791;50;1;2;0;5.00805e+06;3.16389e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;237.37;50;1;5;1;5.05315e+06;3.16356e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;240.123;50;1;5;0;5.05315e+06;3.16356e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;168.258;50;1;10;1;5.69046e+06;2.96226e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;169.63;50;1;10;0;5.69046e+06;2.96226e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;165.569;50;1;20;1;5.69046e+06;2.96226e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;166.257;50;1;20;0;5.69046e+06;2.96226e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;164.886;50;1;50;1;5.69046e+06;2.96226e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;164.838;50;1;50;0;5.69046e+06;2.96226e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;138.204;1;1;0;1;568564;345301
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;32.1169;1;1;0;0;2.26342e+06;1.40499e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;93.5746;1;1;1;1;815042;448462
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;51.5752;1;1;1;0;2.69254e+06;1.60366e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;34.942;1;1;2;1;1.1796e+06;632265
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;42.5153;1;1;2;0;2.61229e+06;1.52667e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;78.1448;1;1;5;1;577603;270570
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;35.7087;1;1;5;0;2.5767e+06;1.47988e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;172.966;1;1;10;1;462062;263480
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;31.988;1;1;10;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;173.442;1;1;20;1;462062;263480
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;32.19;1;1;20;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;173.116;1;1;50;1;462062;263480
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;33.1768;1;1;50;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;81.9047;2;1;0;1;286541;164567
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;26.0692;2;1;0;0;2.26342e+06;1.40499e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;66.5771;2;1;1;1;266481;139631
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;43.2778;2;1;1;0;2.69254e+06;1.60366e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;63.402;2;1;2;1;234146;127993
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;36.1105;2;1;2;0;2.61229e+06;1.52667e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;76.6615;2;1;5;1;257904;121584
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;43.4463;2;1;5;0;2.5767e+06;1.47988e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;128.529;2;1;10;1;462062;263480
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;26.4046;2;1;10;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;129.936;2;1;20;1;462062;263480
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;25.9909;2;1;20;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;126.631;2;1;50;1;462062;263480
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;26.7376;2;1;50;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;59.5381;5;1;0;1;264083;146835
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;18.1321;5;1;0;0;2.26342e+06;1.40499e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;81.66;5;1;1;1;229262;120903
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;27.4056;5;1;1;0;2.42118e+06;1.44682e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;53.7979;5;1;2;1;217125;109624
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;24.1962;5;1;2;0;2.61229e+06;1.52667e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;73.052;5;1;5;1;210821;101359
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;23.2691;5;1;5;0;2.2623e+06;1.28798e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;128.73;5;1;10;1;437146;248506
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;20.4741;5;1;10;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;78.0786;5;1;20;1;437146;248506
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;20.7509;5;1;20;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;81.117;5;1;50;1;437146;248506
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;29.3705;5;1;50;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;65.8639;10;1;0;1;329509;191270
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;23.9528;10;1;0;0;2.26342e+06;1.40499e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;61.3064;10;1;1;1;380687;205961
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;21.2778;10;1;1;0;2.19739e+06;1.31245e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;68.9573;10;1;2;1;186559;99624
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;31.3723;10;1;2;0;2.61229e+06;1.52667e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;96.7182;10;1;5;1;209674;115471
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;22.2452;10;1;5;0;2.19763e+06;1.26594e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;79.4097;10;1;10;1;290756;131245
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;26.8307;10;1;10;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;86.3595;10;1;20;1;290756;131245
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;25.6753;10;1;20;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;88.2686;10;1;50;1;290756;131245
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;28.3931;10;1;50;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;43.8181;20;1;0;1;1.02123e+06;595883
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;22.3528;20;1;0;0;2.26342e+06;1.40499e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;83.7396;20;1;1;1;823198;490224
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;24.5507;20;1;1;0;2.19739e+06;1.31245e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;80.1024;20;1;2;1;651038;378660
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;19.1121;20;1;2;0;2.18914e+06;1.29792e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;44.4933;20;1;5;1;343785;175074
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;15.9493;20;1;5;0;2.19763e+06;1.26594e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;70.2245;20;1;10;1;212888;87894
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;24.7147;20;1;10;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;73.7827;20;1;20;1;212888;87894
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;24.361;20;1;20;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;72.8335;20;1;50;1;212888;87894
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;23.4081;20;1;50;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;32.8618;50;1;0;1;2.26342e+06;1.40499e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;36.0141;50;1;0;0;2.26342e+06;1.40499e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;46.6331;50;1;1;1;2.19739e+06;1.31245e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;48.6566;50;1;1;0;2.19739e+06;1.31245e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;36.2343;50;1;2;1;2.18914e+06;1.29792e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;36.6187;50;1;2;0;2.18914e+06;1.29792e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;18.0068;50;1;5;1;2.19763e+06;1.26594e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;18.0517;50;1;5;0;2.19763e+06;1.26594e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;17.1221;50;1;10;1;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;19.622;50;1;10;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;23.8788;50;1;20;1;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;28.5577;50;1;20;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;28.7638;50;1;50;1;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-1.xml;9432539090837107940352;24.416;50;1;50;0;2.19791e+06;1.2658e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-2.xml;12415718662171809504878176;609.464;1;1;0;1;826625;544173
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-2.xml;12415718662171809504878176;143.069;1;1;0;0;4.26224e+06;2.82296e+06
